DayTraining;Day;Step;discEV;TransformerLoad;agentsCharging;meanBatttery;atHome;reward1;reward2;reward3;energyCosts;
5;1;1;0;9200.0;4;18294.568732419426;30;1030.0;3.9682539682539657;50.0;1.12;
5;1;2;0;2300.0;1;18337.381927835195;30;1030.0;3.7094547964113147;50.0;0.28;
5;1;3;0;0.0;0;18356.548594501863;30;1030.0;3.6231884057970984;50.0;0.0;
5;1;4;0;0.0;0;18356.548594501863;30;1030.0;3.6231884057970984;50.0;0.0;
5;1;5;0;2300.0;1;18356.548594501863;30;1030.0;3.7094547964113147;50.0;0.28;
5;1;6;0;4600.0;2;18375.71526116853;30;1040.0;3.795721187025532;50.0;0.56;
5;1;7;0;2300.0;1;18396.406807555748;30;1040.0;3.7094547964113147;50.0;0.28;
5;1;8;0;2300.0;1;18415.573474222412;30;1040.0;3.7094547964113147;50.0;0.28;
5;1;9;0;4600.0;2;18434.74014088908;30;1050.0;3.795721187025532;50.0;0.56;
5;1;10;0;4600.0;2;18455.43916073582;30;1060.0;3.795721187025532;50.0;0.56;
5;1;11;0;2300.0;1;18488.148269700003;30;1060.0;3.7094547964113147;50.0;0.28;
5;1;12;0;2300.0;1;18507.31493636667;30;1060.0;3.7094547964113147;50.0;0.28;
5;1;13;0;0.0;0;18526.481603033335;30;1060.0;3.6231884057970984;50.0;0.0;
5;1;14;0;0.0;0;18526.481603033335;30;1060.0;3.6231884057970984;50.0;0.0;
5;1;15;0;0.0;0;18526.481603033335;30;1060.0;3.6231884057970984;50.0;0.0;
5;1;16;0;0.0;0;18526.481603033335;30;1060.0;3.6231884057970984;50.0;0.0;
5;1;17;0;0.0;0;18526.481603033335;30;1060.0;3.6231884057970984;50.0;0.0;
5;1;18;0;2300.0;1;18526.481603033335;30;1060.0;3.7094547964113147;50.0;0.28;
5;1;19;0;2300.0;1;18545.648269700003;30;1060.0;3.7094547964113147;50.0;0.28;
5;1;20;0;2300.0;1;18564.81493636667;30;1060.0;3.7094547964113147;50.0;0.28;
