Day;Hours;Price(DKK/Mwh)
01-01-2016;00 - 01;122.29
01-01-2016;01 - 02;119.68
01-01-2016;02 - 03;117.44
01-01-2016;03 - 04;116.18
01-01-2016;04 - 05;115.43
01-01-2016;05 - 06;117.52
01-01-2016;06 - 07;114.61
01-01-2016;07 - 08;114.68
01-01-2016;08 - 09;113.34
01-01-2016;09 - 10;114.83
01-01-2016;10 - 11;117.74
01-01-2016;11 - 12;120.5
01-01-2016;12 - 13;123.11
01-01-2016;13 - 14;124.76
01-01-2016;14 - 15;128.11
01-01-2016;15 - 16;134.31
01-01-2016;16 - 17;138.26
01-01-2016;17 - 18;142.59
01-01-2016;18 - 19;139.38
01-01-2016;19 - 20;133.78
01-01-2016;20 - 21;131.99
01-01-2016;21 - 22;129.31
01-01-2016;22 - 23;124.98
01-01-2016;23 - 00;121.25
02-01-2016;00 - 01;122.88
02-01-2016;01 - 02;118.56
02-01-2016;02 - 03;112.14
02-01-2016;03 - 04;98.41
02-01-2016;04 - 05;94.68
02-01-2016;05 - 06;96.55
02-01-2016;06 - 07;101.4
02-01-2016;07 - 08;106.32
02-01-2016;08 - 09;117.14
02-01-2016;09 - 10;117.29
02-01-2016;10 - 11;119.15
02-01-2016;11 - 12;120.42
02-01-2016;12 - 13;118.41
02-01-2016;13 - 14;119.23
02-01-2016;14 - 15;120.27
02-01-2016;15 - 16;123.63
02-01-2016;16 - 17;129
02-01-2016;17 - 18;130.72
02-01-2016;18 - 19;129.6
02-01-2016;19 - 20;126.47
02-01-2016;20 - 21;123.56
02-01-2016;21 - 22;118.11
02-01-2016;22 - 23;118.03
02-01-2016;23 - 00;114.23
03-01-2016;00 - 01;119.3
03-01-2016;01 - 02;118.41
03-01-2016;02 - 03;117.59
03-01-2016;03 - 04;116.32
03-01-2016;04 - 05;117.06
03-01-2016;05 - 06;118.11
03-01-2016;06 - 07;111.77
03-01-2016;07 - 08;115.87
03-01-2016;08 - 09;117.81
03-01-2016;09 - 10;122.06
03-01-2016;10 - 11;127.96
03-01-2016;11 - 12;133.85
03-01-2016;12 - 13;133.85
03-01-2016;13 - 14;131.76
03-01-2016;14 - 15;131.76
03-01-2016;15 - 16;131.32
03-01-2016;16 - 17;138.85
03-01-2016;17 - 18;142.58
03-01-2016;18 - 19;140.72
03-01-2016;19 - 20;138.1
03-01-2016;20 - 21;134.9
03-01-2016;21 - 22;132.21
03-01-2016;22 - 23;127.06
03-01-2016;23 - 00;117.44
04-01-2016;00 - 01;119.08
04-01-2016;01 - 02;117.96
04-01-2016;02 - 03;116.09
04-01-2016;03 - 04;116.17
04-01-2016;04 - 05;118.78
04-01-2016;05 - 06;125.05
04-01-2016;06 - 07;134.37
04-01-2016;07 - 08;145.79
04-01-2016;08 - 09;152.88
04-01-2016;09 - 10;152.88
04-01-2016;10 - 11;152.73
04-01-2016;11 - 12;150.27
04-01-2016;12 - 13;148.1
04-01-2016;13 - 14;147.95
04-01-2016;14 - 15;148.33
04-01-2016;15 - 16;149.89
04-01-2016;16 - 17;164.59
