DayTraining;Day;Step;discEV;Overload;agentsCharging;meanBatttery;atHome;reward1;reward2;reward3;
5;1;1;0;1;10;60.0;20;0.0;100.0;0.0;
5;1;2;0;1;12;61.136363636363626;20;0.0;120.0;0.0;
5;1;3;0;1;10;62.499999999999986;20;0.0;100.0;0.0;
5;1;4;0;1;8;63.63636363636361;20;0.0;80.0;0.0;
5;1;5;0;1;9;64.54545454545453;20;0.0;90.0;0.0;
5;1;6;0;1;12;65.5681818181818;20;0.0;120.0;0.0;
5;1;7;0;1;15;66.93181818181819;20;0.0;150.0;0.0;
5;1;8;0;1;7;68.63636363636361;20;0.0;70.0;0.0;
5;1;9;0;1;8;69.43181818181816;20;0.0;80.0;0.0;
5;1;10;0;1;10;70.34090909090907;20;0.0;100.0;0.0;
5;1;11;0;1;10;71.47727272727269;20;0.0;100.0;0.0;
5;1;12;0;1;11;72.61363636363633;20;0.0;112.5;0.0;
5;1;13;0;1;12;73.86363636363633;20;0.0;115.0;0.0;
5;1;14;0;1;12;75.2272727272727;20;0.0;122.5;0.0;
5;1;15;0;1;10;76.59090909090908;20;0.0;102.5;0.0;
5;1;16;0;1;10;77.7272727272727;20;0.0;95.0;0.0;
5;1;17;0;1;7;78.86363636363635;20;0.0;52.5;0.0;
5;1;18;0;1;14;79.65909090909089;20;0.0;100.0;0.0;
5;1;19;0;1;15;81.24999999999997;20;0.0;120.0;0.0;
5;1;20;0;1;10;82.95454545454542;20;0.0;85.0;0.0;
5;1;21;0;1;11;84.09090909090905;20;0.0;85.0;0.0;
5;1;22;0;1;10;85.34090909090904;20;0.0;72.5;0.0;
5;1;23;0;1;7;86.47727272727268;20;400.0;65.0;0.0;
5;1;24;0;1;8;83.38636363636358;19;0.0;76.3157894736842;0.0;
5;1;25;0;1;10;84.29545454545449;19;0.0;76.3157894736842;0.0;
5;1;26;0;1;14;85.3863636363636;19;0.0;86.84210526315789;0.0;
5;1;27;0;1;13;86.81818181818177;19;0.0;84.21052631578948;0.0;
5;1;28;0;1;10;88.02272727272722;19;0.0;76.3157894736842;0.0;
5;1;29;1;0;4;88.93181818181812;19;0.0;60.526315789473685;400.0;
5;1;30;0;1;8;84.90909090909085;18;0.0;72.22222222222223;0.0;
5;1;31;2;1;8;85.47727272727266;18;400.0;72.22222222222223;0.0;
5;1;32;0;1;8;73.28409090909085;15;400.0;76.66666666666667;0.0;
5;1;33;0;1;7;69.37499999999996;14;400.0;75.0;0.0;
5;1;34;0;1;8;65.53409090909086;13;800.0;80.76923076923077;0.0;
5;1;35;0;1;1;57.54545454545449;11;800.0;54.54545454545455;0.0;
5;1;36;0;0;5;49.5795454545454;9;400.0;77.77777777777777;400.0;
5;1;37;0;0;5;45.61363636363631;8;400.0;81.25;400.0;
5;1;38;0;0;5;41.76136363636359;7;400.0;85.71428571428571;400.0;
5;1;39;0;0;3;37.63636363636359;6;0.0;75.0;400.0;
5;1;40;0;0;4;37.74999999999996;6;400.0;83.33333333333333;400.0;
